date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:57	14648/14648	---MC-	200	added ('OK')	text/html	date:Tue,%2005%20Jan%202016%2014:19:50%20GMT	http://www.gettemplate.com/demo/progressus-pro/index.html	E:/work/sites/site_onePage_2/www.gettemplate.com/demo/progressus-pro/index.html	(from )
16:16:57	2754/2754	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Apr%202017%2013:16:57%20GMT	http://www.gettemplate.com/robots.txt		(from )
16:16:57	370/370	---M--	200	added ('OK')	image/png	etag:%22568bd106-172%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/gt_favicon.png	E:/work/sites/site_onePage_2/www.gettemplate.com/demo/progressus-pro/assets/images/gt_favicon.png	(from http://www.gettemplate.com/demo/progressus-pro/index.html)
16:16:58	29806/29806	---M--	200	added ('OK')	text/css	etag:%2258b2e0cd-746e%22	http://www.gettemplate.com/demo/progressus-pro/assets/css/styles.css	E:/work/sites/site_onePage_2/www.gettemplate.com/demo/progressus-pro/assets/css/styles.css	(from http://www.gettemplate.com/demo/progressus-pro/index.html)
16:16:59	117305/117305	---MCZ	200	added ('OK')	text/css	etag:W/%22eedf9ee80c2faa4e1b9ab9017cdfcb88%22	http://maxcdn.bootstrapcdn.com/bootstrap/3.3.4/css/bootstrap.min.css	E:/work/sites/site_onePage_2/maxcdn.bootstrapcdn.com/bootstrap/3.3.4/css/bootstrap.min.css	(from http://www.gettemplate.com/demo/progressus-pro/index.html)
16:16:59	23739/23739	---MCZ	200	added ('OK')	text/css	etag:W/%2204425bbdc6243fc6e54bf8984fe50330%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	E:/work/sites/site_onePage_2/maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	(from http://www.gettemplate.com/demo/progressus-pro/index.html)
16:16:59	2948/2948	---M--	200	added ('OK')	image/png	etag:%22568bd106-b84%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/logo.png	E:/work/sites/site_onePage_2/www.gettemplate.com/demo/progressus-pro/assets/images/logo.png	(from http://www.gettemplate.com/demo/progressus-pro/index.html)
16:16:59	3872/3872	---M--	200	added ('OK')	image/png	etag:%22568bd106-f20%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/logo_on_white.png	E:/work/sites/site_onePage_2/www.gettemplate.com/demo/progressus-pro/assets/images/logo_on_white.png	(from http://www.gettemplate.com/demo/progressus-pro/index.html)
16:17:01	14059/14059	---MC-	200	added ('OK')	text/html	date:Tue,%2005%20Jan%202016%2014:19:50%20GMT	http://www.gettemplate.com/demo/progressus-pro/landing-startup.html	E:/work/sites/site_onePage_2/www.gettemplate.com/demo/progressus-pro/landing-startup.html	(from http://www.gettemplate.com/demo/progressus-pro/index.html)
16:17:02	15139/15139	---MC-	200	added ('OK')	text/html	date:Tue,%2005%20Jan%202016%2014:19:50%20GMT	http://www.gettemplate.com/demo/progressus-pro/features.html	E:/work/sites/site_onePage_2/www.gettemplate.com/demo/progressus-pro/features.html	(from http://www.gettemplate.com/demo/progressus-pro/index.html)
16:17:02	13176/13176	---MC-	200	added ('OK')	text/html	date:Tue,%2005%20Jan%202016%2014:19:50%20GMT	http://www.gettemplate.com/demo/progressus-pro/services.html	E:/work/sites/site_onePage_2/www.gettemplate.com/demo/progressus-pro/services.html	(from http://www.gettemplate.com/demo/progressus-pro/index.html)
16:17:02	15227/15227	---MC-	200	added ('OK')	text/html	date:Tue,%2005%20Jan%202016%2014:19:50%20GMT	http://www.gettemplate.com/demo/progressus-pro/pricing.html	E:/work/sites/site_onePage_2/www.gettemplate.com/demo/progressus-pro/pricing.html	(from http://www.gettemplate.com/demo/progressus-pro/index.html)
16:17:02	11900/11900	---MC-	200	added ('OK')	text/html	date:Tue,%2005%20Jan%202016%2014:19:50%20GMT	http://www.gettemplate.com/demo/progressus-pro/portfolio.html	E:/work/sites/site_onePage_2/www.gettemplate.com/demo/progressus-pro/portfolio.html	(from http://www.gettemplate.com/demo/progressus-pro/index.html)
16:17:03	11035/11035	---MC-	200	added ('OK')	text/html	date:Tue,%2005%20Jan%202016%2014:19:50%20GMT	http://www.gettemplate.com/demo/progressus-pro/portfolio-item.html	E:/work/sites/site_onePage_2/www.gettemplate.com/demo/progressus-pro/portfolio-item.html	(from http://www.gettemplate.com/demo/progressus-pro/index.html)
16:17:03	14300/14300	---MC-	200	added ('OK')	text/html	date:Tue,%2005%20Jan%202016%2014:19:50%20GMT	http://www.gettemplate.com/demo/progressus-pro/blog.html	E:/work/sites/site_onePage_2/www.gettemplate.com/demo/progressus-pro/blog.html	(from http://www.gettemplate.com/demo/progressus-pro/index.html)
16:17:05	14020/14020	---MC-	200	added ('OK')	text/html	date:Tue,%2005%20Jan%202016%2014:19:50%20GMT	http://www.gettemplate.com/demo/progressus-pro/single.html	E:/work/sites/site_onePage_2/www.gettemplate.com/demo/progressus-pro/single.html	(from http://www.gettemplate.com/demo/progressus-pro/index.html)
16:17:06	14326/14326	---MC-	200	added ('OK')	text/html	date:Tue,%2005%20Jan%202016%2014:19:50%20GMT	http://www.gettemplate.com/demo/progressus-pro/about.html	E:/work/sites/site_onePage_2/www.gettemplate.com/demo/progressus-pro/about.html	(from http://www.gettemplate.com/demo/progressus-pro/index.html)
